Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"C:\6611\src\content\shell\renderer\test_runner\MockWebRTCDataChannelHandler.cpp",0,5,0,24,90,4,1,1,1,1,5,0,5,0,,,,1,,,,,,16,,,,,,,,,,,,,,118,24,86,30,22,4,0,4,,,25,44,21,0,23,,,,,,2,2,3,1,,,1,,,0.05,17,17,19,16
File,"C:\6611\src\content\shell\renderer\test_runner\MockWebRTCPeerConnectionHandler.cpp",0,6,0,44,236,5,1,1,1,1,6,0,6,0,,,,6,,,,,,30,,,,,,,,,,,,,,285,44,221,89,63,5,0,15,,,74,114,60,0,54,,,,,,3,3,3,1,,,2,,,0.02,38,38,41,30
File,"C:\6611\src\content\shell\renderer\test_runner\MockWebSpeechInputController.cpp",0,0,0,36,142,8,0,0,0,0,0,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,186,3,0,0,0,3,173,7,,,0,0,0,0,0,,,,,,0,0,0,0,,,0,,,0.00,0,0,0,0
File,"C:\6611\src\content\shell\renderer\test_runner\MockWebSpeechRecognizer.cpp",1,8,0,41,177,9,2,2,2,1,8,1,8,0,,,,4,,,,,,19,,,,,,,,,,,,,,226,41,173,50,86,9,0,4,,,83,121,35,0,86,,,,,,10,10,10,10,,,2,,,0.05,34,34,34,30
File,"C:\6611\src\content\shell\renderer\test_runner\NotificationPresenter.cpp",1,8,0,25,111,5,2,2,2,1,9,1,8,0,,,,0,,,,,,12,,,,,,,,,,,,,,141,25,102,35,47,5,0,9,,,48,70,31,0,39,,,,,,8,8,8,1,,,2,,,0.05,23,23,23,12
File,"C:\6611\src\content\shell\renderer\test_runner\SpellCheckClient.cpp",0,10,1,21,113,9,2,2,2,1,10,0,10,1,,,,1,,,,,,10,,,,,,,,,,,,,,143,21,107,37,54,9,0,6,,,48,74,27,0,47,,,,,,6,6,6,5,,,3,,,0.08,23,23,23,17
File,"C:\6611\src\content\shell\renderer\test_runner\TestCommon.cpp",0,12,2,8,24,5,3,3,4,1,14,0,12,2,,,,0,,,,,,1,,,,,,,,,,,,,,37,8,23,14,13,5,0,1,,,13,19,13,0,6,,,,,,3,3,4,1,,,1,,,0.22,3,3,4,1
File,"C:\6611\src\content\shell\renderer\test_runner\TestInterfaces.cpp",0,8,0,27,162,11,2,2,2,1,9,0,8,0,,,,0,,,,,,18,,,,,,,,,,,,,,200,27,142,31,73,11,2,18,,,63,93,25,0,68,,,,,,7,7,8,1,,,2,,,0.08,27,27,28,18
File,"C:\6611\src\content\shell\renderer\test_runner\TestPlugin.cpp",1,13,0,87,514,8,4,2,4,1,14,1,13,0,,,,0,,,,,,37,,,,,,,,,,,,,,609,87,473,112,294,8,0,41,,,286,422,83,0,339,,,,,,40,12,40,4,,,2,,,0.02,132,92,138,44
File,"C:\6611\src\content\shell\renderer\test_runner\TestRunner.cpp",0,8,0,312,1729,102,2,2,2,1,9,0,8,0,,,,7,,,,,,208,,,,,,,,,,,,,,2125,312,1681,316,951,100,8,43,,,796,1168,289,0,879,,,,,,21,21,22,6,,,3,,,0.06,368,366,496,244
